PROTON
PDFFIT
a= 16.4513 +- 2.12053
b= 0.122145 +- 0.0307525
c= 0.11153 +- 0.00519085
x2= 153.184 / 47
SIGMA
a= 7.89447 +- 0.150112
b= 0.0165591 +- 0.000720104
x2= 99.1048 / 48
***
MUON
PDFFIT
a= 9.09811 +- 1.42968
b= 0.0355265 +- 0.0361956
c= 0.0636918 +- 0.00183385
x2= 130.88 / 54
SIGMA
a= 2.92117 +- 0.0649187
b= 0.00675394 +- 0.000301809
x2= 106.792 / 55
***
ELECTRON
PDFFIT
a= 244.711 +- 105.339
b= -0.927464 +- 0.0962032
c= 0.0595684 +- 0.000707421
x2= 55.4982 / 31
SIGMA
a= 1.63617 +- 0.0811778
b= 0.00726271 +- 0.00041609
x2= 90.2502 / 32
***
PION
PDFFIT
a= 4.09533 +- 7.18539
b= 0.262778 +- 0.452442
c= 0.039913 +- 0.0519708
x2= 25.6793 / 21
SIGMA
a= 2.94567 +- 0.590324
b= 0.0118224 +- 0.00321713
x2= 21.0361 / 22
***
